position,driver_number,meeting_key,session_key
8,31,1208,9074
9,1,1208,9074
10,77,1208,9074
11,23,1208,9074
12,27,1208,9074
13,44,1208,9074
14,24,1208,9074
15,21,1208,9074
16,4,1208,9074
17,22,1208,9074
18,18,1208,9074
19,81,1208,9074
20,2,1208,9074
1,1,1210,9090
2,14,1210,9090
3,31,1210,9090
4,55,1210,9090
5,44,1210,9090
6,16,1210,9090
7,10,1210,9090
8,63,1210,9090
9,22,1210,9090
10,4,1210,9090
11,81,1210,9090
12,21,1210,9090
13,23,1210,9090
14,18,1210,9090
15,77,1210,9090
16,2,1210,9090
17,20,1210,9090
18,27,1210,9090
19,24,1210,9090
20,11,1210,9090
1,1,1211,9098
2,55,1211,9098
3,4,1211,9098
4,44,1211,9098
5,18,1211,9098
6,31,1211,9098
7,27,1211,9098
8,14,1211,9098
9,81,1211,9098
10,10,1211,9098
11,11,1211,9098
12,63,1211,9098
13,24,1211,9098
14,21,1211,9098
15,22,1211,9098
16,77,1211,9098
17,20,1211,9098
18,23,1211,9098
19,16,1211,9098
20,2,1211,9098
1,1,1212,9106
2,14,1212,9106
3,44,1212,9106
4,63,1212,9106
5,27,1212,9106
6,31,1212,9106
7,4,1212,9106
8,81,1212,9106
9,23,1212,9106
10,16,1212,9106
11,55,1212,9106
12,11,1212,9106
13,20,1212,9106
14,77,1212,9106
15,10,1212,9106
16,18,1212,9106
17,21,1212,9106
18,2,1212,9106
19,22,1212,9106
20,24,1212,9106
1,1,1213,9112
2,16,1213,9112
3,55,1213,9112
4,4,1213,9112
5,44,1213,9112
6,18,1213,9112
7,14,1213,9112
8,27,1213,9112
9,10,1213,9112
10,23,1213,9112
11,63,1213,9112
12,31,1213,9112
13,81,1213,9112
14,77,1213,9112
15,11,1213,9112
16,22,1213,9112
17,24,1213,9112
18,2,1213,9112
19,20,1213,9112
20,21,1213,9112
1,1,1213,9282
2,11,1213,9282
3,4,1213,9282
4,27,1213,9282
5,55,1213,9282
6,14,1213,9282
7,18,1213,9282
8,31,1213,9282
9,16,1213,9282
10,20,1213,9282
11,23,1213,9282
12,10,1213,9282
13,22,1213,9282
14,21,1213,9282
15,63,1213,9282
16,24,1213,9282
17,81,1213,9282
18,44,1213,9282
19,77,1213,9282
20,2,1213,9282
1,1,1214,9122
2,4,1214,9122
3,81,1214,9122
4,16,1214,9122
5,55,1214,9122
6,63,1214,9122
7,44,1214,9122
8,23,1214,9122
9,14,1214,9122
10,10,1214,9122
11,27,1214,9122
12,18,1214,9122
13,31,1214,9122
14,2,1214,9122
15,11,1214,9122
16,22,1214,9122
17,24,1214,9122
18,21,1214,9122
19,20,1214,9122
20,77,1214,9122
1,44,1215,9129
2,1,1215,9129
3,4,1215,9129
4,81,1215,9129
5,24,1215,9129
6,16,1215,9129
7,77,1215,9129
8,14,1215,9129
9,11,1215,9129
10,27,1215,9129
11,55,1215,9129
12,31,1215,9129
13,3,1215,9129
14,18,1215,9129
15,10,1215,9129
16,23,1215,9129
17,22,1215,9129
18,63,1215,9129
19,20,1215,9129
20,2,1215,9129
1,16,1216,9135
2,11,1216,9135
3,44,1216,9135
4,55,1216,9135
5,81,1216,9135
6,1,1216,9135
7,4,1216,9135
8,63,1216,9135
9,14,1216,9135
10,18,1216,9135
11,22,1216,9135
12,10,1216,9135
13,77,1216,9135
14,31,1216,9135
15,23,1216,9135
16,20,1216,9135
17,24,1216,9135
18,2,1216,9135
19,3,1216,9135
20,27,1216,9135
1,1,1216,9286
2,81,1216,9286
3,55,1216,9286
4,16,1216,9286
5,4,1216,9286
6,10,1216,9286
7,44,1216,9286
8,11,1216,9286
9,31,1216,9286
10,63,1216,9286
11,3,1216,9286
12,23,1216,9286
13,2,1216,9286
14,18,1216,9286
15,14,1216,9286
16,22,1216,9286
17,77,1216,9286
18,20,1216,9286
19,24,1216,9286
20,27,1216,9286
1,1,1217,9145
2,4,1217,9145
3,63,1217,9145
4,23,1217,9145
5,14,1217,9145
6,55,1217,9145
7,11,1217,9145
8,81,1217,9145
9,16,1217,9145
10,2,1217,9145
11,18,1217,9145
12,10,1217,9145
13,44,1217,9145
14,27,1217,9145
15,24,1217,9145
16,31,1217,9145
17,22,1217,9145
18,77,1217,9145
19,40,1217,9145
1,55,1218,9153
2,1,1218,9153
3,16,1218,9153
4,63,1218,9153
5,11,1218,9153
6,23,1218,9153
7,81,1218,9153
8,44,1218,9153
9,4,1218,9153
10,14,1218,9153
11,22,1218,9153
12,40,1218,9153
13,27,1218,9153
14,77,1218,9153
15,2,1218,9153
16,24,1218,9153
17,10,1218,9153
18,31,1218,9153
19,20,1218,9153
20,18,1218,9153
1,55,1219,9161
2,63,1219,9161
3,16,1219,9161
4,4,1219,9161
5,44,1219,9161
6,20,1219,9161
7,14,1219,9161
8,31,1219,9161
9,27,1219,9161
10,40,1219,9161
11,1,1219,9161
12,10,1219,9161
13,11,1219,9161
14,23,1219,9161
15,22,1219,9161
16,77,1219,9161
17,81,1219,9161
18,2,1219,9161
19,24,1219,9161
20,18,1219,9161
1,1,1220,9169
2,81,1220,9169
3,4,1220,9169
4,16,1220,9169
5,11,1220,9169
6,55,1220,9169
7,44,1220,9169
8,63,1220,9169
9,22,1220,9169
10,14,1220,9169
11,40,1220,9169
12,10,1220,9169
13,23,1220,9169
14,31,1220,9169
15,20,1220,9169
16,77,1220,9169
17,18,1220,9169
18,27,1220,9169
19,24,1220,9169
20,2,1220,9169
1,1,1221,9215
2,63,1221,9215
3,44,1221,9215
4,14,1221,9215
5,16,1221,9215
6,81,1221,9215
7,10,1221,9215
8,31,1221,9215
9,77,1221,9215
10,4,1221,9215
11,22,1221,9215
12,55,1221,9215
13,23,1221,9215
14,27,1221,9215
15,2,1221,9215
16,18,1221,9215
17,40,1221,9215
18,20,1221,9215
19,24,1221,9215
20,11,1221,9215
1,81,1221,9298
2,4,1221,9298
3,1,1221,9298
4,63,1221,9298
5,55,1221,9298
6,16,1221,9298
7,27,1221,9298
8,11,1221,9298
9,14,1221,9298
10,31,1221,9298
11,10,1221,9298
12,44,1221,9298
13,77,1221,9298
14,40,1221,9298
15,24,1221,9298
16,18,1221,9298
17,23,1221,9298
18,22,1221,9298
19,20,1221,9298
20,2,1221,9298
1,16,1222,9207
2,4,1222,9207
3,44,1222,9207
4,55,1222,9207
5,63,1222,9207
6,1,1222,9207
7,10,1222,9207
8,31,1222,9207
9,11,1222,9207
10,81,1222,9207
11,22,1222,9207
12,24,1222,9207
13,77,1222,9207
14,3,1222,9207
15,23,1222,9207
16,2,1222,9207
17,20,1222,9207
18,27,1222,9207
19,14,1222,9207
20,18,1222,9207
1,1,1222,9294
2,16,1222,9294
3,44,1222,9294
4,4,1222,9294
5,81,1222,9294
6,55,1222,9294
7,11,1222,9294
8,23,1222,9294
9,10,1222,9294
10,3,1222,9294
11,63,1222,9294
12,14,1222,9294
13,31,1222,9294
14,18,1222,9294
15,24,1222,9294
16,27,1222,9294
17,20,1222,9294
18,77,1222,9294
19,22,1222,9294
20,2,1222,9294
1,16,1223,9177
2,55,1223,9177
3,1,1223,9177
4,3,1223,9177
5,11,1223,9177
6,44,1223,9177
7,81,1223,9177
8,63,1223,9177
9,77,1223,9177
10,24,1223,9177
11,10,1223,9177
12,27,1223,9177
13,14,1223,9177
14,23,1223,9177
15,31,1223,9177
16,20,1223,9177
17,4,1223,9177
18,22,1223,9177
19,2,1223,9177
20,18,1223,9177
1,1,1224,9304
2,16,1224,9304
3,18,1224,9304
4,14,1224,9304
5,44,1224,9304
6,4,1224,9304
7,55,1224,9304
8,63,1224,9304
9,11,1224,9304
10,81,1224,9304
11,27,1224,9304
12,20,1224,9304
13,23,1224,9304
14,31,1224,9304
15,10,1224,9304
16,22,1224,9304
17,3,1224,9304
18,77,1224,9304
19,2,1224,9304
20,24,1224,9304
1,4,1224,9308
2,1,1224,9308
3,11,1224,9308
4,63,1224,9308
5,44,1224,9308
6,22,1224,9308
7,16,1224,9308
8,3,1224,9308
9,55,1224,9308
10,81,1224,9308
11,20,1224,9308
12,27,1224,9308
13,10,1224,9308
14,77,1224,9308
15,14,1224,9308
16,31,1224,9308
17,18,1224,9308
18,24,1224,9308
19,23,1224,9308
20,2,1224,9308
1,16,1225,9314
2,1,1225,9314
3,63,1225,9314
4,10,1225,9314
5,23,1225,9314
6,2,1225,9314
7,77,1225,9314
8,20,1225,9314
9,14,1225,9314
10,44,1225,9314
11,11,1225,9314
12,55,1225,9314
13,27,1225,9314
14,3,1225,9314
15,4,1225,9314
16,31,1225,9314
17,24,1225,9314
18,81,1225,9314
19,18,1225,9314
20,22,1225,9314
1,1,1226,9193
2,16,1226,9193
3,81,1226,9193
4,63,1226,9193
5,4,1226,9193
6,22,1226,9193
7,14,1226,9193
8,27,1226,9193
9,11,1226,9193
10,10,1226,9193
11,44,1226,9193
12,31,1226,9193
13,18,1226,9193
14,23,1226,9193
15,3,1226,9193
16,55,1226,9193
17,20,1226,9193
18,77,1226,9193
19,24,1226,9193
20,2,1226,9193
1,1,1229,9468
2,16,1229,9468
3,63,1229,9468
4,55,1229,9468
5,11,1229,9468
6,14,1229,9468
7,4,1229,9468
8,81,1229,9468
9,44,1229,9468
10,27,1229,9468
11,22,1229,9468
12,18,1229,9468
13,23,1229,9468
14,3,1229,9468
15,20,1229,9468
16,77,1229,9468
17,24,1229,9468
18,2,1229,9468
19,31,1229,9468
20,10,1229,9468
1,1,1230,9476
2,16,1230,9476
3,11,1230,9476
4,14,1230,9476
5,81,1230,9476
6,4,1230,9476
7,63,1230,9476
8,44,1230,9476
9,22,1230,9476
10,18,1230,9476
11,38,1230,9476
12,23,1230,9476
13,20,1230,9476
14,3,1230,9476
15,27,1230,9476
16,77,1230,9476
17,31,1230,9476
18,10,1230,9476
19,2,1230,9476
20,24,1230,9476
1,1,1231,9484
2,55,1231,9484
3,4,1231,9484
4,16,1231,9484
5,81,1231,9484
6,11,1231,9484
7,63,1231,9484
8,22,1231,9484
9,18,1231,9484
10,14,1231,9484
11,44,1231,9484
12,23,1231,9484
13,77,1231,9484
14,20,1231,9484
15,31,1231,9484
16,27,1231,9484
17,10,1231,9484
18,3,1231,9484
19,24,1231,9484
1,1,1232,9492
2,11,1232,9492
3,4,1232,9492
4,55,1232,9492
5,14,1232,9492
6,81,1232,9492
7,44,1232,9492
8,16,1232,9492
9,63,1232,9492
10,22,1232,9492
11,3,1232,9492
12,27,1232,9492
13,77,1232,9492
14,23,1232,9492
15,31,1232,9492
16,18,1232,9492
17,10,1232,9492
18,20,1232,9492
19,2,1232,9492
20,24,1232,9492
1,1,1233,9664
2,11,1233,9664
3,14,1233,9664
4,4,1233,9664
5,81,1233,9664
6,16,1233,9664
7,55,1233,9664
8,63,1233,9664
9,27,1233,9664
10,77,1233,9664
11,18,1233,9664
12,3,1233,9664
13,31,1233,9664
14,23,1233,9664
15,10,1233,9664
16,24,1233,9664
17,20,1233,9664
18,44,1233,9664
19,22,1233,9664
20,2,1233,9664
1,4,1233,9668
2,44,1233,9668
3,14,1233,9668
4,1,1233,9668
5,55,1233,9668
6,11,1233,9668
7,16,1233,9668
8,81,1233,9668
9,77,1233,9668
10,24,1233,9668
11,63,1233,9668
12,20,1233,9668
13,27,1233,9668
14,3,1233,9668
15,18,1233,9668
16,10,1233,9668
17,31,1233,9668
18,23,1233,9668
19,22,1233,9668
20,2,1233,9668
1,1,1234,9498
2,16,1234,9498
3,55,1234,9498
4,11,1234,9498
5,4,1234,9498
6,81,1234,9498
7,63,1234,9498
8,44,1234,9498
9,27,1234,9498
10,22,1234,9498
11,18,1234,9498
12,10,1234,9498
13,31,1234,9498
14,23,1234,9498
15,14,1234,9498
16,77,1234,9498
17,2,1234,9498
18,20,1234,9498
19,24,1234,9498
20,3,1234,9498
1,1,1234,9502
2,16,1234,9502
3,11,1234,9502
4,3,1234,9502
5,55,1234,9502
6,81,1234,9502
7,18,1234,9502
8,14,1234,9502
9,4,1234,9502
10,27,1234,9502
11,63,1234,9502
12,44,1234,9502
13,31,1234,9502
14,20,1234,9502
15,22,1234,9502
16,10,1234,9502
17,24,1234,9502
18,2,1234,9502
19,77,1234,9502
20,23,1234,9502
1,1,1235,9511
2,4,1235,9511
3,16,1235,9511
4,55,1235,9511
5,81,1235,9511
6,63,1235,9511
7,22,1235,9511
8,44,1235,9511
9,3,1235,9511
10,27,1235,9511
11,11,1235,9511
12,31,1235,9511
13,18,1235,9511
14,23,1235,9511
15,10,1235,9511
16,77,1235,9511
17,24,1235,9511
18,20,1235,9511
19,2,1235,9511
20,14,1235,9511
1,16,1236,9519
2,81,1236,9519
3,55,1236,9519
4,4,1236,9519
5,63,1236,9519
6,1,1236,9519
7,44,1236,9519
8,22,1236,9519
9,23,1236,9519
10,10,1236,9519
11,31,1236,9519
12,3,1236,9519
13,18,1236,9519
14,14,1236,9519
15,2,1236,9519
16,11,1236,9519
17,77,1236,9519
18,24,1236,9519
19,27,1236,9519
20,20,1236,9519
1,63,1237,9527
2,1,1237,9527
3,4,1237,9527
4,81,1237,9527
5,3,1237,9527
6,14,1237,9527
7,44,1237,9527
8,22,1237,9527
9,18,1237,9527
10,23,1237,9527
11,16,1237,9527
12,55,1237,9527
13,2,1237,9527
14,20,1237,9527
15,10,1237,9527
16,11,1237,9527
17,27,1237,9527
18,31,1237,9527
19,77,1237,9527
20,24,1237,9527
1,4,1238,9535
2,1,1238,9535
3,44,1238,9535
4,63,1238,9535
5,16,1238,9535
6,55,1238,9535
7,10,1238,9535
8,31,1238,9535
9,81,1238,9535
10,14,1238,9535
11,11,1238,9535
12,77,1238,9535
13,27,1238,9535
14,18,1238,9535
15,24,1238,9535
16,20,1238,9535
17,22,1238,9535
18,3,1238,9535
19,2,1238,9535
20,23,1238,9535
1,1,1239,9541
2,4,1239,9541
3,63,1239,9541
4,55,1239,9541
5,44,1239,9541
6,16,1239,9541
7,81,1239,9541
8,11,1239,9541
9,27,1239,9541
10,31,1239,9541
11,3,1239,9541
12,20,1239,9541
13,10,1239,9541
14,22,1239,9541
15,14,1239,9541
16,23,1239,9541
17,18,1239,9541
18,77,1239,9541
19,2,1239,9541
20,24,1239,9541
1,1,1239,9545
2,4,1239,9545
3,81,1239,9545
4,63,1239,9545
5,55,1239,9545
6,44,1239,9545
7,11,1239,9545
8,31,1239,9545
9,10,1239,9545
10,16,1239,9545
11,20,1239,9545
12,18,1239,9545
13,14,1239,9545
14,22,1239,9545
15,2,1239,9545
16,3,1239,9545
17,27,1239,9545
18,77,1239,9545
19,24,1239,9545
20,23,1239,9545
1,63,1240,9554
2,44,1240,9554
3,4,1240,9554
4,1,1240,9554
5,81,1240,9554
6,27,1240,9554
7,55,1240,9554
8,18,1240,9554
9,23,1240,9554
10,14,1240,9554
11,16,1240,9554
12,2,1240,9554
13,22,1240,9554
14,24,1240,9554
15,3,1240,9554
16,77,1240,9554
17,20,1240,9554
18,31,1240,9554
19,11,1240,9554
20,10,1240,9554
1,4,1241,9562
2,81,1241,9562
3,1,1241,9562
4,55,1241,9562
5,44,1241,9562
6,16,1241,9562
7,14,1241,9562
8,18,1241,9562
9,3,1241,9562
10,22,1241,9562
11,27,1241,9562
12,77,1241,9562
13,23,1241,9562
14,2,1241,9562
15,20,1241,9562
16,11,1241,9562
17,63,1241,9562
18,24,1241,9562
19,31,1241,9562
20,10,1241,9562
1,16,1242,9570
2,11,1242,9570
3,44,1242,9570
4,4,1242,9570
5,81,1242,9570
6,63,1242,9570
7,55,1242,9570
8,14,1242,9570
9,31,1242,9570
10,23,1242,9570
11,1,1242,9570
12,10,1242,9570
13,3,1242,9570
14,77,1242,9570
15,18,1242,9570
16,27,1242,9570
17,20,1242,9570
18,2,1242,9570
19,24,1242,9570
20,22,1242,9570
1,4,1243,9578
2,1,1243,9578
3,81,1243,9578
4,63,1243,9578
5,11,1243,9578
6,16,1243,9578
7,14,1243,9578
8,18,1243,9578
9,10,1243,9578
10,55,1243,9578
11,22,1243,9578
12,27,1243,9578
13,3,1243,9578
14,44,1243,9578
15,31,1243,9578
16,77,1243,9578
17,24,1243,9578
18,2,1243,9578
19,23,1243,9578
20,20,1243,9578
1,4,1244,9586
2,81,1244,9586
3,63,1244,9586
4,16,1244,9586
5,55,1244,9586
6,44,1244,9586
7,1,1244,9586
8,11,1244,9586
9,23,1244,9586
10,27,1244,9586
11,14,1244,9586
12,3,1244,9586
13,20,1244,9586
14,10,1244,9586
15,31,1244,9586
16,22,1244,9586
17,18,1244,9586
18,43,1244,9586
19,77,1244,9586
20,24,1244,9586
1,16,1245,9594
2,81,1245,9594
3,55,1245,9594
4,11,1245,9594
5,63,1245,9594
6,1,1245,9594
7,14,1245,9594
8,43,1245,9594
9,23,1245,9594
10,50,1245,9594
11,22,1245,9594
12,27,1245,9594
13,18,1245,9594
14,3,1245,9594
15,4,1245,9594
16,77,1245,9594
17,24,1245,9594
18,10,1245,9594
19,44,1245,9594
20,31,1245,9594
1,4,1246,9602
2,1,1246,9602
3,44,1246,9602
4,63,1246,9602
5,81,1246,9602
6,27,1246,9602
7,14,1246,9602
8,22,1246,9602
9,16,1246,9602
10,55,1246,9602
11,23,1246,9602
12,43,1246,9602
13,11,1246,9602
14,20,1246,9602
15,31,1246,9602
16,3,1246,9602
17,18,1246,9602
18,10,1246,9602
19,77,1246,9602
20,24,1246,9602
1,4,1247,9608
2,1,1247,9608
3,55,1247,9608
4,16,1247,9608
5,81,1247,9608
6,10,1247,9608
7,14,1247,9608
8,20,1247,9608
9,11,1247,9608
10,22,1247,9608
11,27,1247,9608
12,31,1247,9608
13,18,1247,9608
14,23,1247,9608
15,43,1247,9608
16,77,1247,9608
17,44,1247,9608
18,24,1247,9608
19,30,1247,9608
20,63,1247,9608
1,1,1247,9612
2,63,1247,9612
3,16,1247,9612
4,4,1247,9612
5,55,1247,9612
6,27,1247,9612
7,44,1247,9612
8,20,1247,9612
9,22,1247,9612
10,43,1247,9612
11,11,1247,9612
12,10,1247,9612
13,18,1247,9612
14,14,1247,9612
15,30,1247,9612
16,81,1247,9612
17,31,1247,9612
18,77,1247,9612
19,24,1247,9612
20,23,1247,9612
1,55,1248,9621
2,1,1248,9621
3,4,1248,9621
4,16,1248,9621
5,63,1248,9621
6,44,1248,9621
7,20,1248,9621
8,10,1248,9621
9,23,1248,9621
10,27,1248,9621
11,22,1248,9621
12,30,1248,9621
13,14,1248,9621
14,18,1248,9621
15,77,1248,9621
16,43,1248,9621
17,81,1248,9621
18,11,1248,9621
19,24,1248,9621
20,31,1248,9621
1,4,1249,9627
2,63,1249,9627
3,22,1249,9627
4,31,1249,9627
5,30,1249,9627
6,16,1249,9627
7,23,1249,9627
8,81,1249,9627
9,14,1249,9627
10,18,1249,9627
11,77,1249,9627
12,11,1249,9627
13,10,1249,9627
14,44,1249,9627
15,50,1249,9627
16,43,1249,9627
17,1,1249,9627
18,27,1249,9627
19,24,1249,9627
20,55,1249,9627
1,81,1249,9631
2,4,1249,9631
3,16,1249,9631
4,1,1249,9631
5,55,1249,9631
6,63,1249,9631
7,10,1249,9631
8,30,1249,9631
9,23,1249,9631
10,50,1249,9631
11,44,1249,9631
12,27,1249,9631
13,11,1249,9631
14,43,1249,9631
15,77,1249,9631
16,31,1249,9631
17,22,1249,9631
18,14,1249,9631
19,18,1249,9631
20,24,1249,9631
1,63,1250,9640
2,55,1250,9640
3,10,1250,9640
4,16,1250,9640
5,1,1250,9640
6,4,1250,9640
7,22,1250,9640
8,81,1250,9640
9,27,1250,9640
10,44,1250,9640
11,31,1250,9640
12,20,1250,9640
13,24,1250,9640
14,30,1250,9640
15,11,1250,9640
16,14,1250,9640
17,23,1250,9640
18,18,1250,9640
19,77,1250,9640
20,43,1250,9640
1,63,1251,9646
2,1,1251,9646
3,4,1251,9646
4,81,1251,9646
5,16,1251,9646
6,44,1251,9646
7,55,1251,9646
8,14,1251,9646
9,11,1251,9646
10,20,1251,9646
11,10,1251,9646
12,24,1251,9646
13,77,1251,9646
14,22,1251,9646
15,18,1251,9646
16,23,1251,9646
17,30,1251,9646
18,27,1251,9646
19,43,1251,9646
20,31,1251,9646
1,4,1251,9650
2,63,1251,9650
3,81,1251,9650
4,55,1251,9650
5,16,1251,9650
6,1,1251,9650
7,44,1251,9650
8,10,1251,9650
9,27,1251,9650
10,30,1251,9650
11,14,1251,9650
12,23,1251,9650
13,77,1251,9650
14,18,1251,9650
15,20,1251,9650
16,22,1251,9650
17,31,1251,9650
18,24,1251,9650
19,11,1251,9650
20,43,1251,9650
1,4,1252,9658
2,81,1252,9658
3,55,1252,9658
4,1,1252,9658
5,10,1252,9658
6,63,1252,9658
7,27,1252,9658
8,14,1252,9658
9,77,1252,9658
10,11,1252,9658
11,22,1252,9658
12,30,1252,9658
13,18,1252,9658
14,20,1252,9658
15,24,1252,9658
16,44,1252,9658
17,61,1252,9658
18,23,1252,9658
19,16,1252,9658
20,43,1252,9658
1,4,1254,9689
2,81,1254,9689
3,1,1254,9689
4,63,1254,9689
5,22,1254,9689
6,23,1254,9689
7,16,1254,9689
8,44,1254,9689
9,10,1254,9689
10,55,1254,9689
11,6,1254,9689
12,14,1254,9689
13,18,1254,9689
14,7,1254,9689
15,5,1254,9689
16,12,1254,9689
17,27,1254,9689
18,30,1254,9689
19,31,1254,9689
20,87,1254,9689
1,44,1255,9989
2,1,1255,9989
3,81,1255,9989
4,16,1255,9989
5,63,1255,9989
6,4,1255,9989
7,12,1255,9989
8,22,1255,9989
9,23,1255,9989
10,18,1255,9989
11,14,1255,9989
12,87,1255,9989
13,55,1255,9989
14,5,1255,9989
15,6,1255,9989
16,7,1255,9989
17,10,1255,9989
18,31,1255,9989
19,30,1255,9989
20,27,1255,9989
1,81,1255,9994
2,63,1255,9994
3,4,1255,9994
4,1,1255,9994
5,44,1255,9994
6,16,1255,9994
7,6,1255,9994
8,12,1255,9994
9,22,1255,9994
10,23,1255,9994
11,31,1255,9994
12,27,1255,9994
13,14,1255,9994
14,18,1255,9994
15,55,1255,9994
16,10,1255,9994
17,87,1255,9994
18,7,1255,9994
19,5,1255,9994
20,30,1255,9994
1,1,1256,10002
2,4,1256,10002
3,81,1256,10002
4,16,1256,10002
5,63,1256,10002
6,12,1256,10002
7,6,1256,10002
8,44,1256,10002
9,23,1256,10002
10,87,1256,10002
11,10,1256,10002
12,14,1256,10002
13,30,1256,10002
14,22,1256,10002
15,55,1256,10002
16,27,1256,10002
17,5,1256,10002
18,31,1256,10002
19,7,1256,10002
20,18,1256,10002
1,81,1257,10010
2,16,1257,10010
3,63,1257,10010
4,10,1257,10010
5,12,1257,10010
6,4,1257,10010
7,1,1257,10010
8,55,1257,10010
9,44,1257,10010
10,22,1257,10010
11,7,1257,10010
12,6,1257,10010
13,14,1257,10010
14,31,1257,10010
15,23,1257,10010
16,27,1257,10010
17,30,1257,10010
18,5,1257,10010
19,18,1257,10010
20,87,1257,10010
1,1,1258,10018
2,81,1258,10018
3,63,1258,10018
4,16,1258,10018
5,12,1258,10018
6,55,1258,10018
7,44,1258,10018
8,22,1258,10018
9,10,1258,10018
10,4,1258,10018
11,23,1258,10018
12,30,1258,10018
13,14,1258,10018
14,6,1258,10018
15,87,1258,10018
16,18,1258,10018
17,7,1258,10018
18,27,1258,10018
19,31,1258,10018
20,5,1258,10018
1,12,1259,10024
2,81,1259,10024
3,4,1259,10024
4,1,1259,10024
5,63,1259,10024
6,16,1259,10024
7,44,1259,10024
8,23,1259,10024
9,6,1259,10024
10,14,1259,10024
11,27,1259,10024
12,31,1259,10024
13,10,1259,10024
14,30,1259,10024
15,55,1259,10024
16,18,1259,10024
17,7,1259,10024
18,5,1259,10024
19,87,1259,10024
20,22,1259,10024
1,1,1259,10029
2,4,1259,10029
3,12,1259,10029
4,81,1259,10029
5,63,1259,10029
6,55,1259,10029
7,23,1259,10029
8,16,1259,10029
9,31,1259,10029
10,22,1259,10029
11,6,1259,10029
12,44,1259,10029
13,5,1259,10029
14,7,1259,10029
15,30,1259,10029
16,27,1259,10029
17,14,1259,10029
18,18,1259,10029
19,87,1259,10029
20,10,1259,10029
1,81,1260,9983
2,1,1260,9983
3,63,1260,9983
4,4,1260,9983
5,14,1260,9983
6,55,1260,9983
7,23,1260,9983
8,18,1260,9983
9,6,1260,9983
10,10,1260,9983
11,16,1260,9983
12,44,1260,9983
13,12,1260,9983
14,5,1260,9983
15,30,1260,9983
16,43,1260,9983
17,27,1260,9983
18,31,1260,9983
19,87,1260,9983
20,22,1260,9983
1,4,1261,9975
2,16,1261,9975
3,81,1261,9975
4,1,1261,9975
5,6,1261,9975
6,14,1261,9975
7,44,1261,9975
8,31,1261,9975
9,30,1261,9975
10,23,1261,9975
11,55,1261,9975
12,22,1261,9975
13,27,1261,9975
14,63,1261,9975
15,12,1261,9975
16,5,1261,9975
17,10,1261,9975
18,43,1261,9975
19,18,1261,9975
20,87,1261,9975
1,81,1262,9967
2,4,1262,9967
3,1,1262,9967
4,63,1262,9967
5,44,1262,9967
6,12,1262,9967
7,16,1262,9967
8,10,1262,9967
9,6,1262,9967
10,14,1262,9967
11,23,1262,9967
12,5,1262,9967
13,30,1262,9967
14,18,1262,9967
15,87,1262,9967
16,27,1262,9967
17,31,1262,9967
18,55,1262,9967
19,43,1262,9967
20,22,1262,9967
1,63,1263,9959
2,1,1263,9959
3,81,1263,9959
4,12,1263,9959
5,44,1263,9959
6,14,1263,9959
7,4,1263,9959
8,16,1263,9959
9,23,1263,9959
10,43,1263,9959
11,27,1263,9959
12,6,1263,9959
13,87,1263,9959
14,31,1263,9959
15,5,1263,9959
16,55,1263,9959
17,18,1263,9959
18,22,1263,9959
19,30,1263,9959
20,10,1263,9959
1,4,1264,9951
2,16,1264,9951
